date,product_name,category,unit_price,quantity,sales_amount,customer_id
2024-01-01,キーボード,電子機器,5000,4,20000,customer_064
2024-01-01,ノート,文房具,300,8,2400,customer_068
2024-01-01,小説,書籍,1500,9,13500,customer_092
2024-01-02,キーボード,電子機器,5000,3,15000,customer_056
2024-01-02,技術書,書籍,3500,7,24500,customer_041
2024-01-02,ノート,文房具,300,7,2100,customer_057
2024-01-02,ノートパソコン,電子機器,80000,1,80000,customer_054
2024-01-02,マウス,電子機器,2000,2,4000,customer_060
2024-01-03,キーボード,電子機器,5000,2,10000,customer_072
2024-01-03,ボールペン,文房具,150,9,1350,customer_021
2024-01-03,ノート,文房具,300,5,1500,customer_085
2024-01-03,キーボード,電子機器,5000,8,40000,customer_057
2024-01-03,キーボード,電子機器,5000,6,30000,customer_044
2024-01-04,マウス,電子機器,2000,2,4000,customer_078
2024-01-04,ボールペン,文房具,150,4,600,customer_077
2024-01-04,マウス,電子機器,2000,6,12000,customer_097
2024-01-04,ボールペン,文房具,150,6,900,customer_013
2024-01-04,小説,書籍,1500,7,10500,customer_074
2024-01-05,ボールペン,文房具,150,3,450,customer_073
2024-01-05,小説,書籍,1500,1,1500,customer_097
2024-01-05,技術書,書籍,3500,7,24500,customer_087
2024-01-05,ノート,文房具,300,2,600,customer_018
2024-01-06,ボールペン,文房具,150,10,1500,customer_093
2024-01-06,小説,書籍,1500,1,1500,customer_063
2024-01-06,小説,書籍,1500,2,3000,customer_061
2024-01-07,ノート,文房具,300,5,1500,customer_013
2024-01-07,マウス,電子機器,2000,3,6000,customer_093
2024-01-07,ボールペン,文房具,150,8,1200,customer_003
2024-01-07,ノートパソコン,電子機器,80000,3,240000,customer_005
2024-01-07,ノート,文房具,300,3,900,customer_006
2024-01-08,ファイル,文房具,500,6,3000,customer_093
2024-01-08,マウス,電子機器,2000,5,10000,customer_035
2024-01-08,ノートパソコン,電子機器,80000,1,80000,customer_074
2024-01-08,ビジネス書,書籍,1800,6,10800,customer_066
2024-01-08,キーボード,電子機器,5000,9,45000,customer_024
2024-01-09,ノート,文房具,300,4,1200,customer_053
2024-01-09,ファイル,文房具,500,2,1000,customer_011
2024-01-09,ビジネス書,書籍,1800,10,18000,customer_040
2024-01-09,小説,書籍,1500,6,9000,customer_093
2024-01-10,ビジネス書,書籍,1800,8,14400,customer_041
2024-01-10,ボールペン,文房具,150,6,900,customer_055
2024-01-10,ノートパソコン,電子機器,80000,9,720000,customer_056
2024-01-11,ボールペン,文房具,150,3,450,customer_081
2024-01-11,ビジネス書,書籍,1800,9,16200,customer_070
2024-01-11,ボールペン,文房具,150,1,150,customer_084
2024-01-11,技術書,書籍,3500,5,17500,customer_093
2024-01-11,キーボード,電子機器,5000,7,35000,customer_035
2024-01-12,ボールペン,文房具,150,7,1050,customer_076
2024-01-12,小説,書籍,1500,2,3000,customer_095
