date,product_name,category,unit_price,quantity,sales_amount,customer_id
2024-01-01,ビジネス書,書籍,1800.0,3.0,5400.0,customer_064
2024-01-01,マウス,電子機器,2000.0,7.0,-14000.0,customer_029
2024-01-01,ビジネス書,書籍,1800.0,7.0,12600.0,customer_003
2024-01-02,キーボード,電子機器,5000.0,,5000.0,customer_099
2024-01-02,ビジネス書,書籍,1800.0,3.0,5400.0,customer_100
2024-01-02,ノート,文房具,300.0,2.0,600.0,customer_075
2024-01-03,技術書,書籍,3500.0,5.0,17500.0,customer_068
2024-01-03,ボールペン,文房具,150.0,9.0,1350.0,customer_088
2024-01-03,ファイル,文房具,500.0,10.0,5000.0,customer_081
2024-01-04,ボールペン,文房具,150.0,10.0,1500.0,customer_056
2024-01-04,ノートパソコン,電子機器,,3.0,240000.0,customer_081
2024-01-04,ファイル,文房具,500.0,3.0,1500.0,customer_057
2024-01-04,ノートパソコン,,80000.0,4.0,320000.0,customer_079
2024-01-04,ファイル,文房具,500.0,2.0,1000.0,customer_005
2024-01-05,ファイル,文房具,114143.0,-5.0,2500.0,customer_034
2024-01-05,小説,書籍,1500.0,9.0,13500.0,customer_081
2024-01-05,キーボード,電子機器,5000.0,3.0,15000.0,customer_004
2024-01-05,マウス,電子機器,2000.0,2.0,4000.0,customer_022
2024-01-05,ビジネス書,書籍,1800.0,4.0,7200.0,customer_041
2024-01-06,マウス,電子機器,2000.0,9.0,18000.0,customer_093
2024-01-06,ファイル,文房具,500.0,2.0,1000.0,customer_055
2024-01-06,小説,書籍,1500.0,4.0,6000.0,customer_024
2024-01-07,ノート,文房具,300.0,6.0,1800.0,customer_097
2024-01-07,ボールペン,文房具,150.0,4.0,600.0,customer_086
2024-01-07,ボールペン,文房具,150.0,3.0,450.0,customer_073
2024-01-07,ボールペン,文房具,150.0,7.0,1050.0,customer_088
2024-01-07,ノートパソコン,電子機器,80000.0,1.0,80000.0,customer_035
,ファイル,文房具,500.0,8.0,4000.0,customer_084
2024-01-08,ファイル,文房具,500.0,3.0,1500.0,customer_078
2024-01-08,マウス,電子機器,2000.0,6.0,12000.0,customer_012
2024-01-09,小説,書籍,1500.0,6.0,9000.0,customer_040
,小説,書籍,1500.0,4.0,6000.0,customer_096
2024-01-09,ファイル,文房具,500.0,8.0,4000.0,customer_055
2024-01-09,キーボード,電子機器,5000.0,-9.0,45000.0,customer_023
2024-01-10,小説,書籍,1500.0,9.0,13500.0,customer_045
2024-01-10,技術書,書籍,3500.0,8.0,,customer_090
2024-01-10,ノートパソコン,電子機器,80000.0,7.0,560000.0,customer_009
2024-01-10,マウス,電子機器,2000.0,8.0,16000.0,customer_008
2024-01-11,技術書,書籍,3500.0,4.0,14000.0,customer_019
2024-01-11,マウス,電子機器,2000.0,6.0,12000.0,customer_046
,ボールペン,文房具,150.0,5.0,750.0,customer_020
2024-01-11,小説,書籍,1500.0,8.0,12000.0,customer_065
2024-01-12,キーボード,電子機器,5000.0,2.0,,customer_091
2024-01-12,技術書,書籍,3500.0,4.0,14000.0,customer_089
2024-01-12,小説,書籍,1500.0,10.0,15000.0,customer_074
2024-01-13,小説,書籍,1500.0,4.0,6000.0,customer_059
2024-01-13,ファイル,文房具,500.0,8.0,4000.0,
2024-01-13,ノートパソコン,電子機器,80000.0,2.0,160000.0,customer_072
2024-01-13,キーボード,電子機器,5000.0,9.0,45000.0,customer_055
2024-01-14,ノート,文房具,300.0,2.0,600.0,customer_100
2024-01-14,ボールペン,文房具,150.0,9.0,1350.0,customer_089
2024-01-14,小説,書籍,1500.0,5.0,7500.0,customer_092
2024-01-14,小説,書籍,1500.0,-2.0,,customer_070
2024-01-15,ビジネス書,,1800.0,2.0,3600.0,customer_018
2024-01-15,ファイル,文房具,500.0,3.0,-1500.0,customer_061
2024-01-15,キーボード,電子機器,5000.0,1.0,5000.0,customer_057
2024-01-15,ノートパソコン,電子機器,80000.0,4.0,,customer_083
2024-01-15,ビジネス書,書籍,1800.0,6.0,10800.0,customer_061
2024-01-16,技術書,書籍,-3500.0,7.0,24500.0,customer_035
2024-01-16,ファイル,文房具,500.0,2.0,1000.0,
2024-01-16,ボールペン,文房具,150.0,10.0,1500.0,customer_037
2024-01-17,ノート,文房具,300.0,3.0,900.0,customer_017
2024-01-17,技術書,書籍,3500.0,10.0,35000.0,customer_090
2024-01-17,小説,書籍,1500.0,1.0,1500.0,customer_070
2024-01-17,キーボード,電子機器,5000.0,4.0,20000.0,customer_033
2024-01-17,ビジネス書,書籍,1800.0,7.0,12600.0,customer_045
2024-01-18,技術書,書籍,3500.0,9.0,31500.0,customer_096
2024-01-18,マウス,電子機器,2000.0,9.0,18000.0,customer_100
2024-01-18,小説,,1500.0,-7.0,10500.0,customer_064
2024-01-18,小説,書籍,1500.0,5.0,7500.0,
2024-01-19,ボールペン,文房具,114143.0,8.0,1200.0,customer_074
2024-01-19,小説,書籍,1500.0,6.0,9000.0,customer_034
INVALID_DATE,ビジネス書,書籍,114143.0,2.0,3600.0,customer_057
2024-01-19,ノートパソコン,電子機器,80000.0,6.0,480000.0,customer_087
,ビジネス書,書籍,-1800.0,2.0,3600.0,customer_029
,ノートパソコン,電子機器,80000.0,3.0,240000.0,customer_061
2024-01-20,マウス,電子機器,2000.0,4.0,8000.0,customer_073
2024-01-21,マウス,電子機器,114143.0,6.0,12000.0,customer_039
2024-01-21,マウス,電子機器,2000.0,7.0,14000.0,customer_076
2024-01-21,キーボード,電子機器,5000.0,9.0,45000.0,customer_098
2024-01-21,ビジネス書,書籍,1800.0,9.0,-16200.0,customer_088
2024-01-21,マウス,電子機器,2000.0,10.0,20000.0,customer_012
2024-01-22,ボールペン,文房具,150.0,3.0,450.0,customer_087
2024-01-22,マウス,電子機器,2000.0,3.0,6000.0,customer_054
2024-01-22,ノートパソコン,電子機器,80000.0,10.0,800000.0,customer_067
2024-01-23,小説,書籍,1500.0,6.0,9000.0,customer_021
2024-01-23,ノートパソコン,電子機器,80000.0,5.0,400000.0,customer_045
2024-01-23,ビジネス書,書籍,1800.0,1.0,,customer_056
2024-01-24,ノート,文房具,300.0,6.0,1800.0,customer_072
2024-01-24,ノート,文房具,300.0,6.0,1800.0,customer_030
2024-01-24,ファイル,文房具,500.0,5.0,2500.0,customer_045
2024-01-24,ノート,文房具,300.0,2.0,600.0,customer_040
2024-01-25,ボールペン,文房具,150.0,6.0,900.0,customer_019
2024-01-25,技術書,書籍,3500.0,1.0,3500.0,customer_071
2024-01-25,小説,書籍,1500.0,4.0,6000.0,customer_094
INVALID_DATE,ノート,文房具,300.0,5.0,1500.0,customer_055
2024-01-26,ビジネス書,書籍,1800.0,8.0,14400.0,customer_059
2024-01-26,ビジネス書,書籍,1800.0,6.0,639384.0,customer_007
2024-01-26,技術書,書籍,3500.0,10.0,35000.0,customer_021
2024-01-26,ファイル,文房具,500.0,10.0,5000.0,
INVALID_DATE,,書籍,1500.0,10.0,15000.0,customer_068
,小説,書籍,1500.0,10.0,15000.0,customer_095
2024-01-27,小説,書籍,1500.0,6.0,9000.0,customer_048
2024-01-28,,文房具,,4.0,2000.0,customer_043
2024-01-28,キーボード,電子機器,5000.0,8.0,40000.0,customer_013
2024-01-28,マウス,電子機器,2000.0,8.0,16000.0,customer_038
2024-01-28,小説,書籍,1500.0,4.0,,customer_077
2024-01-29,小説,書籍,1500.0,3.0,4500.0,customer_051
2024-01-29,ビジネス書,書籍,1800.0,8.0,14400.0,customer_005
2024-01-29,マウス,電子機器,2000.0,2.0,4000.0,customer_029
2024-01-30,ボールペン,文房具,150.0,10.0,1500.0,customer_085
2024-01-30,小説,書籍,1500.0,8.0,12000.0,customer_067
2024-01-30,ファイル,文房具,,10.0,5000.0,customer_046
2024-01-30,ノートパソコン,電子機器,80000.0,7.0,,customer_093
2024-01-31,キーボード,電子機器,5000.0,-2.0,10000.0,customer_078
,技術書,書籍,3500.0,10.0,35000.0,customer_012
2024-01-31,ノートパソコン,電子機器,80000.0,7.0,560000.0,customer_007
2024-01-31,ファイル,文房具,500.0,4.0,2000.0,customer_087
2024-02-01,マウス,電子機器,2000.0,5.0,10000.0,customer_015
2024-02-01,技術書,書籍,3500.0,3.0,10500.0,customer_089
2024-02-01,キーボード,電子機器,5000.0,2.0,10000.0,customer_055
2024-02-01,ファイル,文房具,500.0,,3500.0,customer_021
2024-02-02,キーボード,電子機器,5000.0,10.0,50000.0,customer_041
2024-02-02,技術書,書籍,3500.0,8.0,28000.0,customer_013
2024-02-02,キーボード,電子機器,5000.0,5.0,639384.0,customer_009
2024-02-02,小説,書籍,1500.0,5.0,7500.0,customer_070
2024-02-02,小説,書籍,1500.0,10.0,15000.0,customer_050
2024-02-03,技術書,書籍,3500.0,5.0,17500.0,customer_001
2024-02-03,ビジネス書,書籍,-1800.0,2.0,3600.0,customer_065
INVALID_DATE,キーボード,電子機器,5000.0,10.0,50000.0,customer_069
2024-02-04,技術書,書籍,3500.0,3.0,10500.0,customer_034
2024-02-04,マウス,電子機器,2000.0,8.0,639384.0,customer_078
2024-02-04,ノートパソコン,電子機器,80000.0,10.0,800000.0,customer_090
2024-02-04,ビジネス書,書籍,1800.0,,16200.0,customer_067
